iter,x0,x1,f(x)
0.0,2.0,-0.5,-0.405
1.0,1.031,-0.015,-0.015
2.0,1.095,-0.048,-0.047
3.0,1.19,-0.095,-0.091
4.0,1.285,-0.142,-0.133
5.0,1.378,-0.189,-0.173
6.0,1.469,-0.235,-0.211
7.0,1.559,-0.279,-0.246
8.0,1.646,-0.323,-0.28
9.0,1.73,-0.365,-0.311
10.0,1.811,-0.406,-0.341
11.0,1.89,-0.445,-0.368
12.0,1.965,-0.482,-0.394
13.0,2.037,-0.518,-0.418
14.0,2.105,-0.552,-0.44
15.0,2.169,-0.585,-0.46
16.0,2.231,-0.615,-0.48
17.0,2.288,-0.644,-0.497
18.0,2.342,-0.671,-0.514
19.0,2.393,-0.697,-0.529
20.0,2.441,-0.72,-0.543
21.0,2.485,-0.743,-0.555
22.0,2.526,-0.763,-0.567
23.0,2.565,-0.782,-0.578
24.0,2.601,-0.8,-0.588
25.0,2.634,-0.817,-0.597
26.0,2.664,-0.832,-0.605
27.0,2.692,-0.846,-0.613
28.0,2.718,-0.859,-0.62
29.0,2.742,-0.871,-0.627
30.0,2.764,-0.882,-0.632
31.0,2.785,-0.892,-0.638
32.0,2.803,-0.902,-0.643
33.0,2.82,-0.91,-0.647
34.0,2.836,-0.918,-0.651
35.0,2.85,-0.925,-0.655
36.0,2.864,-0.932,-0.658
37.0,2.876,-0.938,-0.662
38.0,2.887,-0.943,-0.664
39.0,2.897,-0.948,-0.667
40.0,2.906,-0.953,-0.669
41.0,2.914,-0.957,-0.671
42.0,2.922,-0.961,-0.673
43.0,2.929,-0.964,-0.675
44.0,2.935,-0.968,-0.677
45.0,2.941,-0.971,-0.678
46.0,2.946,-0.973,-0.68
47.0,2.951,-0.976,-0.681
48.0,2.956,-0.978,-0.682
49.0,2.96,-0.98,-0.683
50.0,2.963,-0.982,-0.684
51.0,2.966,-0.983,-0.685
52.0,2.97,-0.985,-0.685
53.0,2.972,-0.986,-0.686
54.0,2.975,-0.987,-0.687
55.0,2.977,-0.989,-0.687
56.0,2.979,-0.99,-0.688
57.0,2.981,-0.991,-0.688
58.0,2.983,-0.991,-0.689
59.0,2.984,-0.992,-0.689
60.0,2.986,-0.993,-0.69
61.0,2.987,-0.994,-0.69
62.0,2.988,-0.994,-0.69
63.0,2.989,-0.995,-0.69
64.0,2.99,-0.995,-0.691
65.0,2.991,-0.996,-0.691
66.0,2.992,-0.996,-0.691
67.0,2.993,-0.996,-0.691
68.0,2.993,-0.997,-0.691
69.0,2.994,-0.997,-0.692
70.0,2.994,-0.997,-0.692
71.0,2.995,-0.997,-0.692
72.0,2.995,-0.998,-0.692
73.0,2.996,-0.998,-0.692
